<ticker>,<date>,<close>
$SPX_ST,5/25/2012,-0.0391198
$SPX_ST,5/29/2012,-0.0390105
$SPX_ST,5/30/2012,-0.350376
$SPX_ST,5/31/2012,-0.227027
$SPX_ST,6/01/2012,-0.339646
$SPX_ST,6/04/2012,-0.13969
$SPX_ST,6/05/2012,-0.109456
$SPX_ST,6/06/2012,0.0733453
$SPX_ST,6/07/2012,-0.233659
$SPX_ST,6/08/2012,0.0475248
$SPX_ST,6/11/2012,-0.288515
$SPX_ST,6/12/2012,0.075188
$SPX_ST,6/13/2012,-0.0460405
$SPX_ST,6/14/2012,0.090379
$SPX_ST,6/15/2012,0.17342
$SPX_ST,6/18/2012,-0.203111
$SPX_ST,6/19/2012,-0.0248447
$SPX_ST,6/20/2012,-0.197923
$SPX_ST,6/21/2012,-0.246225
$SPX_ST,6/22/2012,-0.0678825
$SPX_ST,6/25/2012,-0.234899
$SPX_ST,6/26/2012,0.0310009
$SPX_ST,6/27/2012,0.0622407
$SPX_ST,6/28/2012,-0.193741
$SPX_ST,6/29/2012,0.102185
$SPX_ST,7/02/2012,-0.157103
$SPX_ST,7/03/2012,-0.00136426
$SPX_ST,7/05/2012,-0.299875
$SPX_ST,7/06/2012,-0.275992
$SPX_ST,7/09/2012,-0.019774
$SPX_ST,7/10/2012,-0.204661
$SPX_ST,7/11/2012,-0.0925539
$SPX_ST,7/12/2012,-0.0755968
$SPX_ST,7/13/2012,0.128906
$SPX_ST,7/16/2012,-0.0927835
$SPX_ST,7/17/2012,-0.0978887
$SPX_ST,7/18/2012,-0.0094007
$SPX_ST,7/19/2012,-0.0205011
$SPX_ST,7/20/2012,-0.173799
$SPX_ST,7/23/2012,-0.0730305
$SPX_ST,7/24/2012,-0.264659
$SPX_ST,7/25/2012,0.00429185
$SPX_ST,7/26/2012,-0.0148322
$SPX_ST,7/27/2012,-0.031211
$SPX_ST,7/30/2012,-0.28757
$SPX_ST,7/31/2012,-0.151515
$SPX_ST,8/01/2012,-0.0550113
$SPX_ST,8/02/2012,-0.00519931
$SPX_ST,8/03/2012,0.0492476
$SPX_ST,8/06/2012,-0.145574
$SPX_ST,8/07/2012,0.02375
$SPX_ST,8/08/2012,-0.267813
$SPX_ST,8/09/2012,-0.15758
$SPX_ST,8/10/2012,-0.199678
$SPX_ST,8/13/2012,-0.236824
$SPX_ST,8/14/2012,-0.314374
$SPX_ST,8/15/2012,-0.0701754
$SPX_ST,8/16/2012,0.224345
$SPX_ST,8/17/2012,0.167048
$SPX_ST,8/20/2012,-0.236041
$SPX_ST,8/21/2012,-0.136315
$SPX_ST,8/22/2012,-0.248583
$SPX_ST,8/23/2012,-0.184821
$SPX_ST,8/24/2012,0.106535
$SPX_ST,8/27/2012,-0.215733
$SPX_ST,8/28/2012,0.118757
$SPX_ST,8/29/2012,-0.0837209
$SPX_ST,8/30/2012,-0.318429
$SPX_ST,8/31/2012,-0.0660287
$SPX_ST,9/04/2012,-0.158326
$SPX_ST,9/05/2012,-0.167545
$SPX_ST,9/06/2012,0.261458
$SPX_ST,9/07/2012,0.00291545
$SPX_ST,9/10/2012,-0.138004
$SPX_ST,9/11/2012,0.0935094
$SPX_ST,9/12/2012,0.137566
$SPX_ST,9/13/2012,0.149081
$SPX_ST,9/14/2012,0.130952
$SPX_ST,9/17/2012,-0.012987
$SPX_ST,9/18/2012,-0.110609
$SPX_ST,9/19/2012,-0.0445545
$SPX_ST,9/20/2012,0.173684
$SPX_ST,9/21/2012,0.246883
$SPX_ST,9/24/2012,-0.247895
$SPX_ST,9/25/2012,-0.269385
